"REGIONE";"COLLEGIO";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"PIEMONTE";"CUNEO-SALUZZO";"ARGENTERA";107;;95;;7;"MSI";"4"
"PIEMONTE";"CUNEO-SALUZZO";"BAGNOLO PIEMONTE";3306;;3097;;95;"PRI";"32"
"PIEMONTE";"CUNEO-SALUZZO";"BAGNOLO PIEMONTE";3306;;3097;;95;"PSI";"553"
"PIEMONTE";"CUNEO-SALUZZO";"BAGNOLO PIEMONTE";3306;;3097;;95;"PLI";"321"
"PIEMONTE";"CUNEO-SALUZZO";"BAGNOLO PIEMONTE";3306;;3097;;95;"PCI-PSIUP";"177"
"PIEMONTE";"CUNEO-SALUZZO";"BAGNOLO PIEMONTE";3306;;3097;;95;"DC";"1588"
"PIEMONTE";"CUNEO-SALUZZO";"BAGNOLO PIEMONTE";3306;;3097;;95;"PSDI";"229"
"PIEMONTE";"CUNEO-SALUZZO";"BAGNOLO PIEMONTE";3306;;3097;;95;"MSI";"25"
"PIEMONTE";"CUNEO-SALUZZO";"BARGE";4746;;4561;;164;"PRI";"35"
"PIEMONTE";"CUNEO-SALUZZO";"BARGE";4746;;4561;;164;"PSI";"1061"
"PIEMONTE";"CUNEO-SALUZZO";"BARGE";4746;;4561;;164;"PLI";"424"
"PIEMONTE";"CUNEO-SALUZZO";"BARGE";4746;;4561;;164;"PCI-PSIUP";"431"
"PIEMONTE";"CUNEO-SALUZZO";"BARGE";4746;;4561;;164;"DC";"2208"
"PIEMONTE";"CUNEO-SALUZZO";"BARGE";4746;;4561;;164;"PSDI";"118"
"PIEMONTE";"CUNEO-SALUZZO";"BARGE";4746;;4561;;164;"MSI";"33"
"PIEMONTE";"CUNEO-SALUZZO";"BELLINO";286;;267;;3;"PRI";"0"
"PIEMONTE";"CUNEO-SALUZZO";"BELLINO";286;;267;;3;"PSI";"42"
"PIEMONTE";"CUNEO-SALUZZO";"BELLINO";286;;267;;3;"PLI";"0"
"PIEMONTE";"CUNEO-SALUZZO";"BELLINO";286;;267;;3;"PCI-PSIUP";"2"
"PIEMONTE";"CUNEO-SALUZZO";"BELLINO";286;;267;;3;"DC";"205"
"PIEMONTE";"CUNEO-SALUZZO";"BELLINO";286;;267;;3;"PSDI";"6"
"PIEMONTE";"CUNEO-SALUZZO";"BELLINO";286;;267;;3;"MSI";"1"
"PIEMONTE";"CUNEO-SALUZZO";"BERNEZZO";1273;;1221;;37;"PRI";"7"
"PIEMONTE";"CUNEO-SALUZZO";"BERNEZZO";1273;;1221;;37;"PSI";"234"
"PIEMONTE";"CUNEO-SALUZZO";"BERNEZZO";1273;;1221;;37;"PLI";"52"
"PIEMONTE";"CUNEO-SALUZZO";"BERNEZZO";1273;;1221;;37;"PCI-PSIUP";"64"
"PIEMONTE";"CUNEO-SALUZZO";"BERNEZZO";1273;;1221;;37;"DC";"783"
"CALABRIA";"COSENZA";"PANETTIERI";303;;268;;13;"DC";"162"
"CALABRIA";"COSENZA";"PANETTIERI";303;;268;;13;"PSI";"29"
"CALABRIA";"COSENZA";"PANETTIERI";303;;268;;13;"PRI";"1"
"CALABRIA";"COSENZA";"PANETTIERI";303;;268;;13;"PSDI";"6"
"CALABRIA";"COSENZA";"PARENTI";1382;;1180;;27;"PLI";"2"
"CALABRIA";"COSENZA";"PARENTI";1382;;1180;;27;"PCI-PSIUP";"541"
"CALABRIA";"COSENZA";"PARENTI";1382;;1180;;27;"MSI";"43"
"CALABRIA";"COSENZA";"PARENTI";1382;;1180;;27;"PSI";"203"
"CALABRIA";"COSENZA";"PARENTI";1382;;1180;;27;"PRI";"4"
"CALABRIA";"COSENZA";"PARENTI";1382;;1180;;27;"PSDI";"3"
"CALABRIA";"COSENZA";"PATERNO CALABRO";1297;;803;;21;"PLI";"5"
"CALABRIA";"COSENZA";"PATERNO CALABRO";1297;;803;;21;"PCI-PSIUP";"111"
"CALABRIA";"COSENZA";"PATERNO CALABRO";1297;;803;;21;"MSI";"68"
"CALABRIA";"COSENZA";"PATERNO CALABRO";1297;;803;;21;"DC";"289"
"CALABRIA";"COSENZA";"PATERNO CALABRO";1297;;803;;21;"PSI";"278"
"CALABRIA";"COSENZA";"PATERNO CALABRO";1297;;803;;21;"PRI";"5"
"CALABRIA";"COSENZA";"PATERNO CALABRO";1297;;803;;21;"PSDI";"16"
"CALABRIA";"COSENZA";"PEDACE";1520;;1349;;45;"PLI";"5"
"CALABRIA";"COSENZA";"PEDACE";1520;;1349;;45;"PCI-PSIUP";"878"
"CALABRIA";"COSENZA";"PEDACE";1520;;1349;;45;"MSI";"31"
"CALABRIA";"COSENZA";"PEDACE";1520;;1349;;45;"DC";"272"
"PIEMONTE";"CUNEO-SALUZZO";"BERNEZZO";1273;;1221;;37;"PSDI";"22"
"PIEMONTE";"CUNEO-SALUZZO";"BERNEZZO";1273;;1221;;37;"MSI";"12"
"PIEMONTE";"CUNEO-SALUZZO";"BORGO SAN DALMAZZO";5034;;4797;;139;"PRI";"107"
"PIEMONTE";"CUNEO-SALUZZO";"BORGO SAN DALMAZZO";5034;;4797;;139;"PSI";"1001"
"PIEMONTE";"CUNEO-SALUZZO";"BORGO SAN DALMAZZO";5034;;4797;;139;"PLI";"432"
"UMBRIA";"TERNI";"STRONCONE";2742;;2660;;97;"PSDI";"57"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BRUNICO";5742;;5462;;296;"TIROL.";"1163"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BRUNICO";5742;;5462;;296;"PSI";"370"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CAMPO DI TRENS";1076;;1015;;33;"MSI";"9"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CAMPO DI TRENS";1076;;1015;;33;"PPST-PPTT";"694"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CAMPO DI TRENS";1076;;1015;;33;"DC";"15"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CAMPO DI TRENS";1076;;1015;;33;"TIROL.";"231"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CAMPO DI TRENS";1076;;1015;;33;"PSI";"14"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CAMPO TURES";1979;;1865;;90;"MSI";"10"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CAMPO TURES";1979;;1865;;90;"PPST-PPTT";"1249"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CAMPO TURES";1979;;1865;;90;"DC";"61"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CAMPO TURES";1979;;1865;;90;"TIROL.";"377"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CAMPO TURES";1979;;1865;;90;"PSI";"24"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CASTELBELLO CIARDES";1208;;1125;;63;"MSI";"4"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CASTELBELLO CIARDES";1208;;1125;;63;"PPST-PPTT";"636"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CASTELBELLO CIARDES";1208;;1125;;63;"DC";"19"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CASTELBELLO CIARDES";1208;;1125;;63;"TIROL.";"317"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CASTELBELLO CIARDES";1208;;1125;;63;"PSI";"62"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CHIENES";1141;;1082;;59;"MSI";"7"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CHIENES";1141;;1082;;59;"PPST-PPTT";"796"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CHIENES";1141;;1082;;59;"DC";"40"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CHIENES";1141;;1082;;59;"TIROL.";"145"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CHIENES";1141;;1082;;59;"PSI";"10"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CHIUSA";2082;;1975;;95;"MSI";"30"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CHIUSA";2082;;1975;;95;"PPST-PPTT";"1422"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CHIUSA";2082;;1975;;95;"DC";"127"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CHIUSA";2082;;1975;;95;"TIROL.";"194"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CHIUSA";2082;;1975;;95;"PSI";"82"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CORNEDO ALL'ISARCO";1279;;1227;;58;"MSI";"27"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CORNEDO ALL'ISARCO";1279;;1227;;58;"PPST-PPTT";"794"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CORNEDO ALL'ISARCO";1279;;1227;;58;"DC";"76"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CORNEDO ALL'ISARCO";1279;;1227;;58;"TIROL.";"141"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CORNEDO ALL'ISARCO";1279;;1227;;58;"PSI";"105"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CORVARA IN BADIA";526;;508;;21;"MSI";"18"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CORVARA IN BADIA";526;;508;;21;"PPST-PPTT";"281"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CORVARA IN BADIA";526;;508;;21;"DC";"161"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CORVARA IN BADIA";526;;508;;21;"TIROL.";"13"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CORVARA IN BADIA";526;;508;;21;"PSI";"8"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CURON VENOSTA";1237;;1106;;15;"MSI";"24"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CURON VENOSTA";1237;;1106;;15;"PPST-PPTT";"631"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CURON VENOSTA";1237;;1106;;15;"DC";"32"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CURON VENOSTA";1237;;1106;;15;"TIROL.";"359"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"CURON VENOSTA";1237;;1106;;15;"PSI";"15"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"DOBBIACO";1450;;1354;;52;"MSI";"52"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"DOBBIACO";1450;;1354;;52;"PPST-PPTT";"847"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"DOBBIACO";1450;;1354;;52;"DC";"161"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"DOBBIACO";1450;;1354;;52;"TIROL.";"192"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"DOBBIACO";1450;;1354;;52;"PSI";"32"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"FALZES";666;;614;;41;"MSI";"1"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"FALZES";666;;614;;41;"PPST-PPTT";"428"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"FALZES";666;;614;;41;"DC";"4"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"FALZES";666;;614;;41;"TIROL.";"119"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"FALZES";666;;614;;41;"PSI";"3"
"PIEMONTE";"CUNEO-SALUZZO";"RITTANA";308;;228;;6;"MSI";"2"
"PIEMONTE";"CUNEO-SALUZZO";"ROASCHIA";353;;294;;7;"PRI";"6"
"PIEMONTE";"CUNEO-SALUZZO";"ROASCHIA";353;;294;;7;"PSI";"108"
"PIEMONTE";"CUNEO-SALUZZO";"ROASCHIA";353;;294;;7;"PLI";"4"
"PIEMONTE";"CUNEO-SALUZZO";"ROASCHIA";353;;294;;7;"PCI-PSIUP";"21"
"PIEMONTE";"CUNEO-SALUZZO";"ROASCHIA";353;;294;;7;"DC";"127"
"PIEMONTE";"CUNEO-SALUZZO";"ROASCHIA";353;;294;;7;"PSDI";"7"
"PIEMONTE";"CUNEO-SALUZZO";"ROASCHIA";353;;294;;7;"MSI";"5"
"PIEMONTE";"CUNEO-SALUZZO";"ROBILANTE";1472;;1445;;58;"PRI";"74"
"PIEMONTE";"CUNEO-SALUZZO";"ROBILANTE";1472;;1445;;58;"PSI";"246"
"PIEMONTE";"CUNEO-SALUZZO";"ROBILANTE";1472;;1445;;58;"PLI";"61"
"PIEMONTE";"CUNEO-SALUZZO";"ROBILANTE";1472;;1445;;58;"PCI-PSIUP";"339"
"PIEMONTE";"CUNEO-SALUZZO";"ROBILANTE";1472;;1445;;58;"DC";"517"
"PIEMONTE";"CUNEO-SALUZZO";"ROBILANTE";1472;;1445;;58;"PSDI";"107"
"PIEMONTE";"CUNEO-SALUZZO";"ROBILANTE";1472;;1445;;58;"MSI";"13"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCABRUNA";879;;771;;31;"PRI";"16"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCABRUNA";879;;771;;31;"PSI";"141"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCABRUNA";879;;771;;31;"PLI";"40"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCABRUNA";879;;771;;31;"PCI-PSIUP";"94"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCABRUNA";879;;771;;31;"DC";"389"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCABRUNA";879;;771;;31;"PSDI";"29"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCABRUNA";879;;771;;31;"MSI";"1"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCASPARVERA";464;;410;;15;"PRI";"3"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCASPARVERA";464;;410;;15;"PSI";"130"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCASPARVERA";464;;410;;15;"PLI";"12"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCASPARVERA";464;;410;;15;"PCI-PSIUP";"50"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCASPARVERA";464;;410;;15;"DC";"172"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCASPARVERA";464;;410;;15;"PSDI";"19"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCASPARVERA";464;;410;;15;"MSI";"3"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCAVIONE";1633;;1472;;58;"PRI";"17"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCAVIONE";1633;;1472;;58;"PSI";"359"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCAVIONE";1633;;1472;;58;"PLI";"89"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCAVIONE";1633;;1472;;58;"PCI-PSIUP";"194"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCAVIONE";1633;;1472;;58;"DC";"593"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCAVIONE";1633;;1472;;58;"PSDI";"102"
"PIEMONTE";"CUNEO-SALUZZO";"ROCCAVIONE";1633;;1472;;58;"MSI";"32"
"PIEMONTE";"CUNEO-SALUZZO";"ROSSANA";831;;786;;28;"PRI";"3"
"PIEMONTE";"CUNEO-SALUZZO";"ROSSANA";831;;786;;28;"PSI";"200"
"PIEMONTE";"CUNEO-SALUZZO";"ROSSANA";831;;786;;28;"PLI";"26"
"PIEMONTE";"CUNEO-SALUZZO";"ROSSANA";831;;786;;28;"PCI-PSIUP";"41"
"PIEMONTE";"CUNEO-SALUZZO";"ROSSANA";831;;786;;28;"DC";"443"
"PIEMONTE";"CUNEO-SALUZZO";"ROSSANA";831;;786;;28;"PSDI";"29"
"PIEMONTE";"CUNEO-SALUZZO";"ROSSANA";831;;786;;28;"MSI";"3"
"PIEMONTE";"CUNEO-SALUZZO";"SALUZZO";11697;;11189;;375;"PRI";"250"
"PIEMONTE";"CUNEO-SALUZZO";"SALUZZO";11697;;11189;;375;"PSI";"1840"
"PIEMONTE";"CUNEO-SALUZZO";"SALUZZO";11697;;11189;;375;"PLI";"1528"
"PIEMONTE";"CUNEO-SALUZZO";"SALUZZO";11697;;11189;;375;"PCI-PSIUP";"1375"
"PIEMONTE";"CUNEO-SALUZZO";"SALUZZO";11697;;11189;;375;"DC";"4661"
"PIEMONTE";"CUNEO-SALUZZO";"SALUZZO";11697;;11189;;375;"PSDI";"660"
"PIEMONTE";"CUNEO-SALUZZO";"SALUZZO";11697;;11189;;375;"MSI";"322"
"PIEMONTE";"CUNEO-SALUZZO";"SAMBUCO";139;;117;;4;"PRI";"1"
"PIEMONTE";"CUNEO-SALUZZO";"SAMBUCO";139;;117;;4;"PSI";"35"
"PIEMONTE";"CUNEO-SALUZZO";"SAMBUCO";139;;117;;4;"PLI";"13"
"PIEMONTE";"CUNEO-SALUZZO";"SAMBUCO";139;;117;;4;"PCI-PSIUP";"14"
"PIEMONTE";"CUNEO-SALUZZO";"SAMBUCO";139;;117;;4;"DC";"41"
"PIEMONTE";"CUNEO-SALUZZO";"SAMBUCO";139;;117;;4;"PSDI";"5"
"PIEMONTE";"CUNEO-SALUZZO";"SAMBUCO";139;;117;;4;"MSI";"0"
"PIEMONTE";"CUNEO-SALUZZO";"SAMPEYRE";1448;;1141;;35;"PRI";"18"
"PIEMONTE";"CUNEO-SALUZZO";"SAMPEYRE";1448;;1141;;35;"PSI";"143"
"PIEMONTE";"CUNEO-SALUZZO";"SAMPEYRE";1448;;1141;;35;"PLI";"85"
"PIEMONTE";"CUNEO-SALUZZO";"SAMPEYRE";1448;;1141;;35;"PCI-PSIUP";"37"
"PIEMONTE";"CUNEO-SALUZZO";"SAMPEYRE";1448;;1141;;35;"DC";"746"
"PIEMONTE";"CUNEO-SALUZZO";"SAMPEYRE";1448;;1141;;35;"PSDI";"51"
"PIEMONTE";"CUNEO-SALUZZO";"SAMPEYRE";1448;;1141;;35;"MSI";"6"
"PIEMONTE";"CUNEO-SALUZZO";"SAN DAMIANO MACRA";778;;703;;16;"PRI";"10"
"PIEMONTE";"CUNEO-SALUZZO";"SAN DAMIANO MACRA";778;;703;;16;"PSI";"149"
"PIEMONTE";"CUNEO-SALUZZO";"SAN DAMIANO MACRA";778;;703;;16;"PLI";"70"
"PIEMONTE";"CUNEO-SALUZZO";"SAN DAMIANO MACRA";778;;703;;16;"PCI-PSIUP";"56"
"PIEMONTE";"CUNEO-SALUZZO";"SAN DAMIANO MACRA";778;;703;;16;"DC";"320"
"PIEMONTE";"CUNEO-SALUZZO";"SAN DAMIANO MACRA";778;;703;;16;"PSDI";"54"
"PIEMONTE";"CUNEO-SALUZZO";"SAN DAMIANO MACRA";778;;703;;16;"MSI";"8"
"PIEMONTE";"CUNEO-SALUZZO";"SANFRONT";1852;;1707;;60;"PRI";"14"
"PIEMONTE";"CUNEO-SALUZZO";"SANFRONT";1852;;1707;;60;"PSI";"300"
"PIEMONTE";"CUNEO-SALUZZO";"SANFRONT";1852;;1707;;60;"PLI";"320"
"PIEMONTE";"CUNEO-SALUZZO";"SANFRONT";1852;;1707;;60;"PCI-PSIUP";"116"
"PIEMONTE";"CUNEO-SALUZZO";"SANFRONT";1852;;1707;;60;"DC";"674"
"PIEMONTE";"CUNEO-SALUZZO";"SANFRONT";1852;;1707;;60;"PSDI";"139"
"PIEMONTE";"CUNEO-SALUZZO";"SANFRONT";1852;;1707;;60;"MSI";"10"
"PIEMONTE";"CUNEO-SALUZZO";"STROPPO";225;;204;;4;"PRI";"3"
"PIEMONTE";"CUNEO-SALUZZO";"STROPPO";225;;204;;4;"PSI";"63"
"PIEMONTE";"CUNEO-SALUZZO";"STROPPO";225;;204;;4;"PLI";"35"
"PIEMONTE";"CUNEO-SALUZZO";"STROPPO";225;;204;;4;"PCI-PSIUP";"15"
"PIEMONTE";"CUNEO-SALUZZO";"STROPPO";225;;204;;4;"DC";"72"
"PIEMONTE";"CUNEO-SALUZZO";"STROPPO";225;;204;;4;"PSDI";"7"
"PIEMONTE";"CUNEO-SALUZZO";"STROPPO";225;;204;;4;"MSI";"3"
"PIEMONTE";"CUNEO-SALUZZO";"VALDIERI";955;;875;;52;"PRI";"66"
"PIEMONTE";"CUNEO-SALUZZO";"VALDIERI";955;;875;;52;"PSI";"216"
"PIEMONTE";"CUNEO-SALUZZO";"VALDIERI";955;;875;;52;"PLI";"22"
"PIEMONTE";"CUNEO-SALUZZO";"VALDIERI";955;;875;;52;"PCI-PSIUP";"120"
"PIEMONTE";"CUNEO-SALUZZO";"VALDIERI";955;;875;;52;"DC";"318"
"PIEMONTE";"CUNEO-SALUZZO";"VALDIERI";955;;875;;52;"PSDI";"30"
"PIEMONTE";"CUNEO-SALUZZO";"VALDIERI";955;;875;;52;"MSI";"38"
"PIEMONTE";"CUNEO-SALUZZO";"VALGRANA";659;;626;;18;"PRI";"5"
"PIEMONTE";"CUNEO-SALUZZO";"VALGRANA";659;;626;;18;"PSI";"93"
"PIEMONTE";"CUNEO-SALUZZO";"VALGRANA";659;;626;;18;"PLI";"67"
"PIEMONTE";"CUNEO-SALUZZO";"VALGRANA";659;;626;;18;"PCI-PSIUP";"97"
"PIEMONTE";"CUNEO-SALUZZO";"VALGRANA";659;;626;;18;"DC";"317"
"VENETO";"ROVIGO";"SAN BELLINO";910;;890;;43;"DC";"446"
"VENETO";"ROVIGO";"STIENTA";2025;;1988;;70;"PCI-PSIUP";"1160"
"VENETO";"ROVIGO";"STIENTA";2025;;1988;;70;"PSDI";"61"
"VENETO";"ROVIGO";"STIENTA";2025;;1988;;70;"PLI";"27"
"CALABRIA";"COSENZA";"BISIGNANO";4929;;4065;;195;"PLI";"26"
"CALABRIA";"COSENZA";"BISIGNANO";4929;;4065;;195;"PCI-PSIUP";"1860"
"CALABRIA";"COSENZA";"BISIGNANO";4929;;4065;;195;"MSI";"268"
"CALABRIA";"COSENZA";"BISIGNANO";4929;;4065;;195;"DC";"1464"
"CALABRIA";"COSENZA";"BISIGNANO";4929;;4065;;195;"PSI";"170"
"CALABRIA";"COSENZA";"BISIGNANO";4929;;4065;;195;"PRI";"9"
"CALABRIA";"COSENZA";"BISIGNANO";4929;;4065;;195;"PSDI";"24"
"LOMBARDIA";"CHIARI";"MACLODIO";325;;311;;5;"MSI";"32"
"LOMBARDIA";"CHIARI";"MACLODIO";325;;311;;5;"PSDI";"9"
"LOMBARDIA";"CHIARI";"MACLODIO";325;;311;;5;"PRI";"4"
"LOMBARDIA";"CHIARI";"MAIRANO";1176;;1131;;17;"PCI-PSIUP";"271"
"VENETO";"ROVIGO";"BERGANTINO";1996;;1886;;73;"MSI";"100"
"VENETO";"ROVIGO";"BERGANTINO";1996;;1886;;73;"PSI";"309"
"VENETO";"ROVIGO";"BERGANTINO";1996;;1886;;73;"DC";"716"
"VENETO";"ROVIGO";"BOSARO";898;;863;;30;"PCI-PSIUP";"167"
"VENETO";"ROVIGO";"BOSARO";898;;863;;30;"PSDI";"56"
"VENETO";"ROVIGO";"BOSARO";898;;863;;30;"PLI";"8"
"VENETO";"ROVIGO";"BOSARO";898;;863;;30;"PRI";"4"
"VENETO";"ROVIGO";"BOSARO";898;;863;;30;"MSI";"63"
"MARCHE";"FERMO";"TORRE SAN PATRIZIO";1267;;1248;;58;"PLI";"16"
"MARCHE";"FERMO";"TORRE SAN PATRIZIO";1267;;1248;;58;"MSI";"117"
"MARCHE";"FERMO";"TORRE SAN PATRIZIO";1267;;1248;;58;"PRI";"51"
"MARCHE";"FERMO";"TORRE SAN PATRIZIO";1267;;1248;;58;"PCI-PSIUP";"331"
"MARCHE";"FERMO";"TORRE SAN PATRIZIO";1267;;1248;;58;"PSI";"53"
"MARCHE";"FERMO";"TORRE SAN PATRIZIO";1267;;1248;;58;"DC";"591"
"PUGLIA";"MONOPOLI";"ALBEROBELLO";5718;;5281;;163;"PSDI";"357"
"PUGLIA";"MONOPOLI";"ALBEROBELLO";5718;;5281;;163;"DC";"2527"
"PUGLIA";"MONOPOLI";"ALBEROBELLO";5718;;5281;;163;"PCI-PSIUP";"695"
"PUGLIA";"MONOPOLI";"ALBEROBELLO";5718;;5281;;163;"PSI";"830"
"PUGLIA";"MONOPOLI";"ALBEROBELLO";5718;;5281;;163;"MSI";"436"
"PUGLIA";"MONOPOLI";"ALBEROBELLO";5718;;5281;;163;"PRI";"49"
"PUGLIA";"MONOPOLI";"ALBEROBELLO";5718;;5281;;163;"PLI";"78"
"PUGLIA";"MONOPOLI";"CASTELLANA GROTTE";8743;;8023;;214;"PSDI";"183"
"PUGLIA";"MONOPOLI";"CASTELLANA GROTTE";8743;;8023;;214;"DC";"3698"
"PUGLIA";"MONOPOLI";"CASTELLANA GROTTE";8743;;8023;;214;"PCI-PSIUP";"1654"
