"REGIONE";"COLLEGIO";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"CALABRIA";"COSENZA";"TRENTA";1187;;1008;;39;"DC";"345"
"CALABRIA";"COSENZA";"TRENTA";1187;;1008;;39;"PSI";"58"
"CALABRIA";"COSENZA";"TRENTA";1187;;1008;;39;"PRI";"4"
"CALABRIA";"COSENZA";"TRENTA";1187;;1008;;39;"PSDI";"12"
"CALABRIA";"COSENZA";"ZUMPANO";822;;666;;18;"PLI";"4"
"CALABRIA";"COSENZA";"ZUMPANO";822;;666;;18;"PCI-PSIUP";"278"
"CALABRIA";"COSENZA";"ZUMPANO";822;;666;;18;"MSI";"61"
"CALABRIA";"COSENZA";"ZUMPANO";822;;666;;18;"DC";"255"
"CALABRIA";"COSENZA";"ZUMPANO";822;;666;;18;"PSI";"34"
"CALABRIA";"COSENZA";"ZUMPANO";822;;666;;18;"PRI";"0"
"CALABRIA";"COSENZA";"ZUMPANO";822;;666;;18;"PSDI";"6"
"PIEMONTE";"CUNEO-SALUZZO";"ACCEGLIO";382;;340;;9;"PRI";"7"
"PIEMONTE";"CUNEO-SALUZZO";"ACCEGLIO";382;;340;;9;"PSI";"70"
"PIEMONTE";"CUNEO-SALUZZO";"ACCEGLIO";382;;340;;9;"PLI";"23"
"PIEMONTE";"CUNEO-SALUZZO";"ACCEGLIO";382;;340;;9;"PCI-PSIUP";"43"
"PIEMONTE";"CUNEO-SALUZZO";"ACCEGLIO";382;;340;;9;"DC";"168"
"PIEMONTE";"CUNEO-SALUZZO";"ACCEGLIO";382;;340;;9;"PSDI";"8"
"PIEMONTE";"CUNEO-SALUZZO";"ACCEGLIO";382;;340;;9;"MSI";"6"
"PIEMONTE";"CUNEO-SALUZZO";"AISONE";301;;301;;7;"PRI";"0"
"PIEMONTE";"CUNEO-SALUZZO";"AISONE";301;;301;;7;"PSI";"103"
"PIEMONTE";"CUNEO-SALUZZO";"AISONE";301;;301;;7;"PLI";"0"
"PIEMONTE";"CUNEO-SALUZZO";"AISONE";301;;301;;7;"PCI-PSIUP";"22"
"PIEMONTE";"CUNEO-SALUZZO";"AISONE";301;;301;;7;"DC";"102"
"PIEMONTE";"CUNEO-SALUZZO";"AISONE";301;;301;;7;"PSDI";"28"
"PIEMONTE";"CUNEO-SALUZZO";"AISONE";301;;301;;7;"MSI";"0"
"PIEMONTE";"CUNEO-SALUZZO";"ARGENTERA";107;;95;;7;"PRI";"5"
"PIEMONTE";"CUNEO-SALUZZO";"ARGENTERA";107;;95;;7;"PSI";"14"
"PIEMONTE";"CUNEO-SALUZZO";"ARGENTERA";107;;95;;7;"PLI";"6"
"PIEMONTE";"CUNEO-SALUZZO";"ARGENTERA";107;;95;;7;"PCI-PSIUP";"5"
"PIEMONTE";"CUNEO-SALUZZO";"ARGENTERA";107;;95;;7;"DC";"46"
"PIEMONTE";"CUNEO-SALUZZO";"ARGENTERA";107;;95;;7;"PSDI";"7"
