"REGIONE";"COLLEGIO";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"MOLISE";"LARINO";"GUGLIONESI";3780;;3626;;23;"MSI";"95"
"MOLISE";"LARINO";"GUGLIONESI";3780;;3626;;23;"P.NAZ.MONARCHICO";"106"
"MOLISE";"LARINO";"GUGLIONESI";3780;;3626;;23;"PRI";"7"
"MOLISE";"LARINO";"GUGLIONESI";3780;;3626;;23;"BLOCCO NAZIONALE";"665"
"MOLISE";"LARINO";"GUGLIONESI";3780;;3626;;23;"IND";"330"
"MOLISE";"LARINO";"GUGLIONESI";3780;;3626;;23;"SOCIALCOMUNISTI";"733"
"SARDEGNA";"IGLESIAS";"PORTOSCUSO";1170;;1074;;63;"PS D'AZ.";"90"
"SARDEGNA";"IGLESIAS";"PORTOSCUSO";1170;;1074;;63;"DC";"440"
"SARDEGNA";"IGLESIAS";"SAN GAVINO MONREALE";3296;;3001;;27;"UNITA' SOCIALISTA";"116"
"SARDEGNA";"IGLESIAS";"SANTADI";2795;;2570;;41;"UNITA' SOCIALISTA";"70"
"SARDEGNA";"IGLESIAS";"SANTADI";2795;;2570;;41;"BLOCCO NAZIONALE";"491"
"SARDEGNA";"IGLESIAS";"SANTADI";2795;;2570;;41;"SOCIALCOMUNISTI";"281"
"SARDEGNA";"IGLESIAS";"SANTADI";2795;;2570;;41;"PS D'AZ.";"918"
"SARDEGNA";"IGLESIAS";"SANTADI";2795;;2570;;41;"DC";"657"
"SARDEGNA";"IGLESIAS";"SANT'ANTIOCO";4457;;4086;;49;"UNITA' SOCIALISTA";"207"
"SARDEGNA";"IGLESIAS";"SANT'ANTIOCO";4457;;4086;;49;"BLOCCO NAZIONALE";"404"
"SARDEGNA";"IGLESIAS";"SANT'ANTIOCO";4457;;4086;;49;"SOCIALCOMUNISTI";"462"
"SARDEGNA";"IGLESIAS";"SANT'ANTIOCO";4457;;4086;;49;"PS D'AZ.";"359"
"SARDEGNA";"IGLESIAS";"SANT'ANTIOCO";4457;;4086;;49;"DC";"2366"
"SARDEGNA";"IGLESIAS";"SILIQUA";1539;;1436;;50;"UNITA' SOCIALISTA";"113"
"SARDEGNA";"IGLESIAS";"SILIQUA";1539;;1436;;50;"BLOCCO NAZIONALE";"125"
"SARDEGNA";"IGLESIAS";"SILIQUA";1539;;1436;;50;"SOCIALCOMUNISTI";"299"
"SARDEGNA";"IGLESIAS";"SILIQUA";1539;;1436;;50;"PS D'AZ.";"323"
"SARDEGNA";"IGLESIAS";"SILIQUA";1539;;1436;;50;"DC";"462"
"SARDEGNA";"IGLESIAS";"TEULADA";2421;;2251;;35;"UNITA' SOCIALISTA";"116"
"SARDEGNA";"IGLESIAS";"TEULADA";2421;;2251;;35;"BLOCCO NAZIONALE";"316"
"SARDEGNA";"IGLESIAS";"TEULADA";2421;;2251;;35;"SOCIALCOMUNISTI";"208"
"SARDEGNA";"IGLESIAS";"TEULADA";2421;;2251;;35;"PS D'AZ.";"225"
"SARDEGNA";"IGLESIAS";"TEULADA";2421;;2251;;35;"DC";"1237"
"SARDEGNA";"IGLESIAS";"TRATALIAS";604;;572;;9;"UNITA' SOCIALISTA";"10"
"SARDEGNA";"IGLESIAS";"TRATALIAS";604;;572;;9;"BLOCCO NAZIONALE";"24"
"SARDEGNA";"IGLESIAS";"TRATALIAS";604;;572;;9;"SOCIALCOMUNISTI";"249"
"SARDEGNA";"IGLESIAS";"TRATALIAS";604;;572;;9;"PS D'AZ.";"19"
"SARDEGNA";"IGLESIAS";"TRATALIAS";604;;572;;9;"DC";"232"
"SARDEGNA";"IGLESIAS";"UTA";1320;;1230;;13;"UNITA' SOCIALISTA";"41"
"SARDEGNA";"IGLESIAS";"UTA";1320;;1230;;13;"BLOCCO NAZIONALE";"40"
"SARDEGNA";"IGLESIAS";"UTA";1320;;1230;;13;"SOCIALCOMUNISTI";"129"
"SARDEGNA";"IGLESIAS";"UTA";1320;;1230;;13;"PS D'AZ.";"276"
"SARDEGNA";"IGLESIAS";"UTA";1320;;1230;;13;"DC";"696"
"SARDEGNA";"IGLESIAS";"VALLERMOSA";881;;843;;15;"UNITA' SOCIALISTA";"39"
"SARDEGNA";"IGLESIAS";"VALLERMOSA";881;;843;;15;"BLOCCO NAZIONALE";"52"
"SARDEGNA";"IGLESIAS";"VALLERMOSA";881;;843;;15;"SOCIALCOMUNISTI";"144"
"SARDEGNA";"IGLESIAS";"VALLERMOSA";881;;843;;15;"PS D'AZ.";"82"
"SARDEGNA";"IGLESIAS";"VALLERMOSA";881;;843;;15;"DC";"491"
"SARDEGNA";"IGLESIAS";"VILLACIDRO";4427;;4154;;75;"UNITA' SOCIALISTA";"154"
"SARDEGNA";"IGLESIAS";"VILLACIDRO";4427;;4154;;75;"BLOCCO NAZIONALE";"129"
"SARDEGNA";"IGLESIAS";"VILLACIDRO";4427;;4154;;75;"SOCIALCOMUNISTI";"1114"
"SARDEGNA";"IGLESIAS";"VILLACIDRO";4427;;4154;;75;"PS D'AZ.";"594"
"SARDEGNA";"IGLESIAS";"VILLACIDRO";4427;;4154;;75;"DC";"1878"
"SARDEGNA";"IGLESIAS";"VILLAMASSARGIA";1266;;1169;;19;"UNITA' SOCIALISTA";"268"
"SARDEGNA";"IGLESIAS";"VILLAMASSARGIA";1266;;1169;;19;"BLOCCO NAZIONALE";"50"
"SARDEGNA";"IGLESIAS";"VILLAMASSARGIA";1266;;1169;;19;"SOCIALCOMUNISTI";"489"
"SARDEGNA";"IGLESIAS";"VILLAMASSARGIA";1266;;1169;;19;"PS D'AZ.";"92"
"SARDEGNA";"IGLESIAS";"VILLAMASSARGIA";1266;;1169;;19;"DC";"161"
"SARDEGNA";"IGLESIAS";"VILLASOR";2106;;1975;;19;"UNITA' SOCIALISTA";"42"
"SARDEGNA";"IGLESIAS";"VILLASOR";2106;;1975;;19;"BLOCCO NAZIONALE";"172"
"SARDEGNA";"IGLESIAS";"VILLASOR";2106;;1975;;19;"SOCIALCOMUNISTI";"750"
"SARDEGNA";"IGLESIAS";"VILLASOR";2106;;1975;;19;"PS D'AZ.";"118"
"SARDEGNA";"IGLESIAS";"VILLASOR";2106;;1975;;19;"DC";"825"
"MARCHE";"MACERATA";"POLLENZA";3129;;3001;;66;"BLOCCO NAZIONALE";"86"
"MARCHE";"MACERATA";"PORTO RECANATI";3471;;3091;;86;"PRI";"328"
"MARCHE";"MACERATA";"PORTO RECANATI";3471;;3091;;86;"DC";"1259"
"MARCHE";"MACERATA";"PORTO RECANATI";3471;;3091;;86;"SOCIALCOMUNISTI";"1147"
"MARCHE";"MACERATA";"PORTO RECANATI";3471;;3091;;86;"BLOCCO NAZIONALE";"177"
"MARCHE";"MACERATA";"POTENZA PICENA";5494;;5290;;111;"PRI";"538"
"SICILIA";"CALTANISSETTA";"ACQUAVIVA PLATANI";1583;;1471;;7;"SOCIALCOMUNISTI";"37"
"SICILIA";"CALTANISSETTA";"ACQUAVIVA PLATANI";1583;;1471;;7;"BLOCCO NAZIONALE";"12"
"SICILIA";"CALTANISSETTA";"ACQUAVIVA PLATANI";1583;;1471;;7;"P.NAZ.MONARCHICO";"355"
"SICILIA";"CALTANISSETTA";"ACQUAVIVA PLATANI";1583;;1471;;7;"DC";"987"
"SICILIA";"CALTANISSETTA";"ACQUAVIVA PLATANI";1583;;1471;;7;"MSI";"12"
"SICILIA";"CALTANISSETTA";"ACQUAVIVA PLATANI";1583;;1471;;7;"PRI";"22"
"SICILIA";"CALTANISSETTA";"BOMPENSIERE";635;;586;;4;"SOCIALCOMUNISTI";"44"
"SICILIA";"CALTANISSETTA";"BOMPENSIERE";635;;586;;4;"BLOCCO NAZIONALE";"148"
"SICILIA";"CALTANISSETTA";"BOMPENSIERE";635;;586;;4;"P.NAZ.MONARCHICO";"8"
"SICILIA";"CALTANISSETTA";"BOMPENSIERE";635;;586;;4;"DC";"301"
"TOSCANA";"FIRENZE II";"FIRENZE";45805;;44089;;784;"BLOCCO NAZIONALE";"637"
"TOSCANA";"FIRENZE II";"FIRENZE";45805;;44089;;784;"PRI";"621"
"TOSCANA";"FIRENZE II";"FUCECCHIO";8481;;8101;;258;"UNITA' SOCIALISTA";"487"
"TOSCANA";"FIRENZE II";"FUCECCHIO";8481;;8101;;258;"SOCIALCOMUNISTI";"4168"
"TOSCANA";"FIRENZE II";"FUCECCHIO";8481;;8101;;258;"DC";"2843"
"TOSCANA";"FIRENZE II";"FUCECCHIO";8481;;8101;;258;"BLOCCO NAZIONALE";"129"
"TOSCANA";"FIRENZE II";"FUCECCHIO";8481;;8101;;258;"PRI";"80"
"TOSCANA";"FIRENZE II";"GAMBASSI TERME";3093;;3019;;78;"UNITA' SOCIALISTA";"136"
"TOSCANA";"FIRENZE II";"GAMBASSI TERME";3093;;3019;;78;"SOCIALCOMUNISTI";"1849"
"TOSCANA";"FIRENZE II";"GAMBASSI TERME";3093;;3019;;78;"DC";"870"
"TOSCANA";"FIRENZE II";"GAMBASSI TERME";3093;;3019;;78;"BLOCCO NAZIONALE";"22"
"TOSCANA";"FIRENZE II";"GAMBASSI TERME";3093;;3019;;78;"PRI";"21"
"TOSCANA";"FIRENZE II";"GREVE IN CHIANTI";8405;;8088;;331;"UNITA' SOCIALISTA";"399"
"TOSCANA";"FIRENZE II";"GREVE IN CHIANTI";8405;;8088;;331;"SOCIALCOMUNISTI";"4379"
"TOSCANA";"FIRENZE II";"GREVE IN CHIANTI";8405;;8088;;331;"DC";"2627"
"TOSCANA";"FIRENZE II";"GREVE IN CHIANTI";8405;;8088;;331;"BLOCCO NAZIONALE";"131"
"TOSCANA";"FIRENZE II";"GREVE IN CHIANTI";8405;;8088;;331;"PRI";"75"
"TOSCANA";"FIRENZE II";"IMPRUNETA";6644;;6403;;259;"UNITA' SOCIALISTA";"204"
"TOSCANA";"FIRENZE II";"IMPRUNETA";6644;;6403;;259;"SOCIALCOMUNISTI";"4065"
"TOSCANA";"FIRENZE II";"IMPRUNETA";6644;;6403;;259;"DC";"1688"
"TOSCANA";"FIRENZE II";"IMPRUNETA";6644;;6403;;259;"BLOCCO NAZIONALE";"47"
"TOSCANA";"FIRENZE II";"IMPRUNETA";6644;;6403;;259;"PRI";"30"
"TOSCANA";"FIRENZE II";"INCISA IN VAL D'ARNO";2759;;2738;;77;"UNITA' SOCIALISTA";"80"
"TOSCANA";"FIRENZE II";"INCISA IN VAL D'ARNO";2759;;2738;;77;"SOCIALCOMUNISTI";"1846"
"TOSCANA";"FIRENZE II";"INCISA IN VAL D'ARNO";2759;;2738;;77;"DC";"690"
"TOSCANA";"FIRENZE II";"INCISA IN VAL D'ARNO";2759;;2738;;77;"BLOCCO NAZIONALE";"15"
"TOSCANA";"FIRENZE II";"INCISA IN VAL D'ARNO";2759;;2738;;77;"PRI";"14"
"TOSCANA";"FIRENZE II";"MONTAIONE";3607;;3536;;70;"UNITA' SOCIALISTA";"128"
"TOSCANA";"FIRENZE II";"MONTAIONE";3607;;3536;;70;"SOCIALCOMUNISTI";"2228"
"TOSCANA";"FIRENZE II";"MONTAIONE";3607;;3536;;70;"DC";"1005"
"TOSCANA";"FIRENZE II";"MONTAIONE";3607;;3536;;70;"BLOCCO NAZIONALE";"45"
"TOSCANA";"FIRENZE II";"MONTAIONE";3607;;3536;;70;"PRI";"38"
"TOSCANA";"FIRENZE II";"MONTESPERTOLI";7197;;6937;;275;"UNITA' SOCIALISTA";"245"
"TOSCANA";"FIRENZE II";"MONTESPERTOLI";7197;;6937;;275;"SOCIALCOMUNISTI";"3770"
"TOSCANA";"FIRENZE II";"MONTESPERTOLI";7197;;6937;;275;"DC";"2388"
"TOSCANA";"FIRENZE II";"MONTESPERTOLI";7197;;6937;;275;"BLOCCO NAZIONALE";"72"
"TOSCANA";"FIRENZE II";"MONTESPERTOLI";7197;;6937;;275;"PRI";"46"
"TOSCANA";"FIRENZE II";"RIGNANO SULL'ARNO";3916;;3791;;136;"UNITA' SOCIALISTA";"159"
"TOSCANA";"FIRENZE II";"RIGNANO SULL'ARNO";3916;;3791;;136;"SOCIALCOMUNISTI";"2117"
"TOSCANA";"FIRENZE II";"RIGNANO SULL'ARNO";3916;;3791;;136;"DC";"1225"
"TOSCANA";"FIRENZE II";"RIGNANO SULL'ARNO";3916;;3791;;136;"BLOCCO NAZIONALE";"63"
"TOSCANA";"FIRENZE II";"RIGNANO SULL'ARNO";3916;;3791;;136;"PRI";"26"
"TOSCANA";"FIRENZE II";"SAN CASCIANO IN VAL DI PESA";8883;;8537;;357;"UNITA' SOCIALISTA";"329"
"TOSCANA";"FIRENZE II";"SAN CASCIANO IN VAL DI PESA";8883;;8537;;357;"SOCIALCOMUNISTI";"4253"
"TOSCANA";"FIRENZE II";"SAN CASCIANO IN VAL DI PESA";8883;;8537;;357;"DC";"3308"
"TOSCANA";"FIRENZE II";"SAN CASCIANO IN VAL DI PESA";8883;;8537;;357;"BLOCCO NAZIONALE";"82"
"TOSCANA";"FIRENZE II";"SAN CASCIANO IN VAL DI PESA";8883;;8537;;357;"PRI";"67"
"TOSCANA";"FIRENZE II";"SCANDICCI";9505;;9020;;366;"UNITA' SOCIALISTA";"309"
"TOSCANA";"FIRENZE II";"SCANDICCI";9505;;9020;;366;"SOCIALCOMUNISTI";"4617"
"TOSCANA";"FIRENZE II";"SCANDICCI";9505;;9020;;366;"DC";"3398"
"TOSCANA";"FIRENZE II";"SCANDICCI";9505;;9020;;366;"BLOCCO NAZIONALE";"91"
"TOSCANA";"FIRENZE II";"SCANDICCI";9505;;9020;;366;"PRI";"94"
"TOSCANA";"FIRENZE II";"TAVARNELLE VAL DI PESA";3781;;3681;;104;"UNITA' SOCIALISTA";"133"
"TOSCANA";"FIRENZE II";"TAVARNELLE VAL DI PESA";3781;;3681;;104;"SOCIALCOMUNISTI";"1765"
"TOSCANA";"FIRENZE II";"TAVARNELLE VAL DI PESA";3781;;3681;;104;"DC";"1575"
"TOSCANA";"FIRENZE II";"TAVARNELLE VAL DI PESA";3781;;3681;;104;"BLOCCO NAZIONALE";"36"
"TOSCANA";"FIRENZE II";"TAVARNELLE VAL DI PESA";3781;;3681;;104;"PRI";"35"
"LIGURIA";"GENOVA II";"CAMPOMORONE";4216;;4049;;103;"SOCIALCOMUNISTI";"1663"
"LIGURIA";"GENOVA II";"CAMPOMORONE";4216;;4049;;103;"DC";"1979"
"LIGURIA";"GENOVA II";"CAMPOMORONE";4216;;4049;;103;"UNITA' SOC.-PRI";"205"
"LIGURIA";"GENOVA II";"CAMPOMORONE";4216;;4049;;103;"BLOCCO NAZIONALE";"30"
"LIGURIA";"GENOVA II";"CERANESI";2283;;2118;;73;"SOCIALCOMUNISTI";"682"
"LIGURIA";"GENOVA II";"CERANESI";2283;;2118;;73;"DC";"1194"
"LIGURIA";"GENOVA II";"CERANESI";2283;;2118;;73;"UNITA' SOC.-PRI";"86"
"LIGURIA";"GENOVA II";"CERANESI";2283;;2118;;73;"BLOCCO NAZIONALE";"23"
"LIGURIA";"GENOVA II";"GENOVA";103159;;94252;;1852;"SOCIALCOMUNISTI";"45748"
"LIGURIA";"GENOVA II";"GENOVA";103159;;94252;;1852;"DC";"34171"
"LIGURIA";"GENOVA II";"GENOVA";103159;;94252;;1852;"UNITA' SOC.-PRI";"9735"
"LIGURIA";"GENOVA II";"GENOVA";103159;;94252;;1852;"BLOCCO NAZIONALE";"1237"
"LIGURIA";"GENOVA II";"MIGNANEGO";2282;;2128;;68;"SOCIALCOMUNISTI";"841"
"LIGURIA";"GENOVA II";"MIGNANEGO";2282;;2128;;68;"DC";"1000"
"LIGURIA";"GENOVA II";"MIGNANEGO";2282;;2128;;68;"UNITA' SOC.-PRI";"178"
"LIGURIA";"GENOVA II";"MIGNANEGO";2282;;2128;;68;"BLOCCO NAZIONALE";"13"
"LIGURIA";"GENOVA II";"SANT'OLCESE";3417;;3140;;116;"SOCIALCOMUNISTI";"1358"
"LIGURIA";"GENOVA II";"SANT'OLCESE";3417;;3140;;116;"DC";"1396"
"LIGURIA";"GENOVA II";"SANT'OLCESE";3417;;3140;;116;"UNITA' SOC.-PRI";"171"
"LIGURIA";"GENOVA II";"SANT'OLCESE";3417;;3140;;116;"BLOCCO NAZIONALE";"16"
"LIGURIA";"GENOVA II";"SERRA RICCO'";3661;;3371;;114;"SOCIALCOMUNISTI";"1025"
"LIGURIA";"GENOVA II";"SERRA RICCO'";3661;;3371;;114;"DC";"1964"
"LIGURIA";"GENOVA II";"SERRA RICCO'";3661;;3371;;114;"UNITA' SOC.-PRI";"168"
"LIGURIA";"GENOVA II";"SERRA RICCO'";3661;;3371;;114;"BLOCCO NAZIONALE";"26"
"ABRUZZO";"AVEZZANO";"AIELLI";1427;;1357;;42;"SOCIALCOMUNISTI";"575"
"ABRUZZO";"AVEZZANO";"AIELLI";1427;;1357;;42;"UNITA' SOCIALISTA";"76"
"ABRUZZO";"AVEZZANO";"AIELLI";1427;;1357;;42;"BLOCCO NAZIONALE";"32"
"ABRUZZO";"AVEZZANO";"AIELLI";1427;;1357;;42;"DC";"576"
"ABRUZZO";"AVEZZANO";"ALFEDENA";820;;745;;21;"SOCIALCOMUNISTI";"92"
"ABRUZZO";"AVEZZANO";"ALFEDENA";820;;745;;21;"UNITA' SOCIALISTA";"71"
"ABRUZZO";"AVEZZANO";"ALFEDENA";820;;745;;21;"BLOCCO NAZIONALE";"22"
"ABRUZZO";"AVEZZANO";"ALFEDENA";820;;745;;21;"DC";"525"
"ABRUZZO";"AVEZZANO";"ANVERSA DEGLI ABRUZZI";849;;736;;14;"SOCIALCOMUNISTI";"126"
"ABRUZZO";"AVEZZANO";"ANVERSA DEGLI ABRUZZI";849;;736;;14;"UNITA' SOCIALISTA";"50"
"ABRUZZO";"AVEZZANO";"ANVERSA DEGLI ABRUZZI";849;;736;;14;"BLOCCO NAZIONALE";"21"
"ABRUZZO";"AVEZZANO";"ANVERSA DEGLI ABRUZZI";849;;736;;14;"DC";"499"
"ABRUZZO";"AVEZZANO";"ATELETA";1196;;1085;;11;"SOCIALCOMUNISTI";"59"
"ABRUZZO";"AVEZZANO";"ATELETA";1196;;1085;;11;"UNITA' SOCIALISTA";"63"
"ABRUZZO";"TERAMO";"TORRICELLA SICURA";2167;;1918;;18;"DC";"1323"
"ABRUZZO";"TERAMO";"TORRICELLA SICURA";2167;;1918;;18;"BLOCCO NAZIONALE";"42"
"ABRUZZO";"TERAMO";"TORTORETO";4261;;3888;;67;"SOCIALCOMUNISTI";"1125"
"ABRUZZO";"AVEZZANO";"AVEZZANO";10997;;9969;;111;"SOCIALCOMUNISTI";"1709"
"ABRUZZO";"AVEZZANO";"AVEZZANO";10997;;9969;;111;"UNITA' SOCIALISTA";"1037"
"ABRUZZO";"AVEZZANO";"AVEZZANO";10997;;9969;;111;"BLOCCO NAZIONALE";"1325"
"ABRUZZO";"AVEZZANO";"AVEZZANO";10997;;9969;;111;"DC";"5530"
"ABRUZZO";"TERAMO";"VALLE CASTELLANA";2462;;1997;;19;"SOCIALCOMUNISTI";"181"
"ABRUZZO";"TERAMO";"VALLE CASTELLANA";2462;;1997;;19;"DC";"1607"
"ABRUZZO";"TERAMO";"VALLE CASTELLANA";2462;;1997;;19;"BLOCCO NAZIONALE";"83"
"UMBRIA";"ORVIETO";"ACQUASPARTA";3187;;2891;;77;"SOCIALCOMUNISTI";"1527"
"UMBRIA";"ORVIETO";"ACQUASPARTA";3187;;2891;;77;"PRI";"184"
"UMBRIA";"ORVIETO";"ACQUASPARTA";3187;;2891;;77;"DC";"814"
"UMBRIA";"ORVIETO";"ACQUASPARTA";3187;;2891;;77;"IND";"54"
"UMBRIA";"ORVIETO";"ACQUASPARTA";3187;;2891;;77;"UNITA' SOCIALISTA";"134"
"UMBRIA";"ORVIETO";"ALLERONA";1355;;1295;;48;"SOCIALCOMUNISTI";"591"
"UMBRIA";"ORVIETO";"ALLERONA";1355;;1295;;48;"PRI";"44"
"UMBRIA";"ORVIETO";"ALLERONA";1355;;1295;;48;"DC";"157"
"UMBRIA";"ORVIETO";"ALLERONA";1355;;1295;;48;"IND";"300"
"UMBRIA";"ORVIETO";"ALLERONA";1355;;1295;;48;"UNITA' SOCIALISTA";"86"
"UMBRIA";"ORVIETO";"ALVIANO";908;;875;;19;"SOCIALCOMUNISTI";"116"
"UMBRIA";"ORVIETO";"ALVIANO";908;;875;;19;"PRI";"24"
"UMBRIA";"ORVIETO";"ALVIANO";908;;875;;19;"DC";"535"
"UMBRIA";"ORVIETO";"ALVIANO";908;;875;;19;"IND";"74"
"UMBRIA";"ORVIETO";"ALVIANO";908;;875;;19;"UNITA' SOCIALISTA";"64"
"UMBRIA";"ORVIETO";"AMELIA";6635;;6339;;123;"SOCIALCOMUNISTI";"2497"
"UMBRIA";"ORVIETO";"AMELIA";6635;;6339;;123;"PRI";"1074"
"UMBRIA";"ORVIETO";"AMELIA";6635;;6339;;123;"DC";"1897"
"UMBRIA";"ORVIETO";"AMELIA";6635;;6339;;123;"IND";"286"
"UMBRIA";"ORVIETO";"AMELIA";6635;;6339;;123;"UNITA' SOCIALISTA";"222"
"UMBRIA";"ORVIETO";"ATTIGLIANO";773;;749;;19;"SOCIALCOMUNISTI";"137"
"UMBRIA";"ORVIETO";"ATTIGLIANO";773;;749;;19;"PRI";"111"
"UMBRIA";"ORVIETO";"ATTIGLIANO";773;;749;;19;"DC";"276"
"UMBRIA";"ORVIETO";"ATTIGLIANO";773;;749;;19;"IND";"85"
"UMBRIA";"ORVIETO";"ATTIGLIANO";773;;749;;19;"UNITA' SOCIALISTA";"88"
"UMBRIA";"ORVIETO";"BASCHI";4022;;3865;;77;"SOCIALCOMUNISTI";"1030"
"UMBRIA";"ORVIETO";"BASCHI";4022;;3865;;77;"PRI";"243"
"UMBRIA";"ORVIETO";"BASCHI";4022;;3865;;77;"DC";"650"
"UMBRIA";"ORVIETO";"BASCHI";4022;;3865;;77;"IND";"1537"
"UMBRIA";"ORVIETO";"BASCHI";4022;;3865;;77;"UNITA' SOCIALISTA";"154"
"UMBRIA";"ORVIETO";"CASTEL GIORGIO";1649;;1562;;43;"SOCIALCOMUNISTI";"482"
"UMBRIA";"ORVIETO";"CASTEL GIORGIO";1649;;1562;;43;"PRI";"19"
"UMBRIA";"ORVIETO";"CASTEL GIORGIO";1649;;1562;;43;"DC";"295"
"UMBRIA";"ORVIETO";"CASTEL GIORGIO";1649;;1562;;43;"IND";"497"
"UMBRIA";"ORVIETO";"CASTEL GIORGIO";1649;;1562;;43;"UNITA' SOCIALISTA";"158"
"UMBRIA";"ORVIETO";"CASTEL VISCARDO";1783;;1726;;43;"SOCIALCOMUNISTI";"454"
"UMBRIA";"ORVIETO";"CASTEL VISCARDO";1783;;1726;;43;"PRI";"38"
"UMBRIA";"ORVIETO";"CASTEL VISCARDO";1783;;1726;;43;"DC";"216"
"UMBRIA";"ORVIETO";"CASTEL VISCARDO";1783;;1726;;43;"IND";"735"
"UMBRIA";"ORVIETO";"CASTEL VISCARDO";1783;;1726;;43;"UNITA' SOCIALISTA";"73"
"UMBRIA";"ORVIETO";"FABRO";1568;;1488;;30;"SOCIALCOMUNISTI";"720"
"UMBRIA";"ORVIETO";"FABRO";1568;;1488;;30;"PRI";"17"
"UMBRIA";"ORVIETO";"FABRO";1568;;1488;;30;"DC";"293"
"UMBRIA";"ORVIETO";"FABRO";1568;;1488;;30;"IND";"296"
"UMBRIA";"ORVIETO";"FABRO";1568;;1488;;30;"UNITA' SOCIALISTA";"80"
"UMBRIA";"ORVIETO";"FICULLE";2039;;1937;;32;"SOCIALCOMUNISTI";"1102"
"PIEMONTE";"IVREA";"PEDANEA";1719;;1596;;64;"P.CONTADINI D'ITALIA";"71"
"PIEMONTE";"IVREA";"PEDANEA";1719;;1596;;64;"UNITA' SOCIALISTA";"428"
"PIEMONTE";"IVREA";"PEROSA CANAVESE";339;;321;;12;"SOCIALCOMUNISTI";"32"
